---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.79300625
mean_fail_rate: 0.138075
mean_sloth_rate: 0.06891875
recall_50: 0.7978
recall_90: 0.7084
mean_wall_collisions: 8.5177875
mean_inefficient_turns: 17.5884
mean_inefficient_revisits: 2.4706875
mean_distance_inefficiency: 2.0011098372560996
mean_closure_inefficiency: 1.1510811155927796
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.70525
mean_fail_rate: 0.20490625
mean_sloth_rate: 0.08984375
recall_50: 0.709
recall_90: 0.512
mean_wall_collisions: 11.4703125
mean_inefficient_turns: 24.98828125
mean_inefficient_revisits: 3.64684375
mean_distance_inefficiency: 2.982039203133027
mean_closure_inefficiency: 1.2965413511911024
---------------------------------------------------------------
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 2.625| IR: 0.0| DI: 1.2736293859649124| CI: 1.1458333333333333
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.125| IT: 5.25| IR: 0.0625| DI: 1.484903530377668| CI: 1.12109375
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 0.5| IR: 0.0| DI: 1.1962425595238093| CI: 1.0625
Maze 88| Su: 0.65625| Fa: 0.03125| Sl: 0.3125| WC: 39.09375| IT: 73.875| IR: 11.28125| DI: 2.444598734072418| CI: 1.0416666666666667
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 1.65625| IR: 0.0| DI: 1.258173076923077| CI: 1.0375
Maze 90| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.78125| IT: 0.875| IR: 0.0| DI: 1.2138330419580419| CI: 1.1015625
Maze 91| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.9375| IT: 3.78125| IR: 0.15625| DI: 1.4209035326086956| CI: 1.13125
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.71875| IT: 7.3125| IR: 0.25| DI: 1.4513987671882407| CI: 1.0
Maze 93| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.78125| IT: 6.09375| IR: 0.125| DI: 1.4873522654167817| CI: 1.1705069124423961
Maze 94| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.90625| IR: 0.0| DI: 1.1916494963369964| CI: 1.125
Maze 95| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 5.71875| IT: 10.8125| IR: 1.25| DI: 1.4434783077453857| CI: 1.064516129032258
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 1.625| IR: 0.03125| DI: 1.258573717948718| CI: 1.0
Maze 97| Su: 0.0| Fa: 0.28125| Sl: 0.71875| WC: 64.59375| IT: 132.125| IR: 23.28125| DI: nan| CI: nan
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.5625| IT: 2.8125| IR: 0.0| DI: 1.2522871376811595| CI: 1.0625
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.15625| IT: 2.625| IR: 0.03125| DI: 1.3244377794977642| CI: 1.1015625
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.65625| IR: 0.0| DI: 1.1690972222222222| CI: 1.1216517857142856
