---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 114| Su: 0.0| Fa: 0.875| Sl: 0.125| WC: 57.75| IT: 101.78125| IR: 15.78125| DI: nan| CI: nan
Maze 115| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 100.875| IT: 183.375| IR: 26.53125| DI: nan| CI: nan
Maze 116| Su: 0.1875| Fa: 0.125| Sl: 0.6875| WC: 80.125| IT: 166.5625| IR: 21.65625| DI: 16.27709235209235| CI: 25.666666666666668
Maze 117| Su: 0.0625| Fa: 0.25| Sl: 0.6875| WC: 85.5625| IT: 168.3125| IR: 22.28125| DI: 18.865384615384613| CI: 38.375
Maze 118| Su: 0.03125| Fa: 0.03125| Sl: 0.9375| WC: 100.90625| IT: 179.3125| IR: 27.125| DI: 17.392857142857142| CI: 20.571428571428573
Maze 119| Su: 0.0| Fa: 0.90625| Sl: 0.09375| WC: 29.03125| IT: 51.1875| IR: 5.0625| DI: nan| CI: nan
Maze 120| Su: 0.0| Fa: 0.9375| Sl: 0.0625| WC: 33.96875| IT: 60.875| IR: 7.40625| DI: nan| CI: nan
Maze 121| Su: 0.03125| Fa: 0.5| Sl: 0.46875| WC: 84.65625| IT: 155.84375| IR: 21.9375| DI: 13.807692307692308| CI: 7.0
Maze 122| Su: 0.21875| Fa: 0.15625| Sl: 0.625| WC: 74.21875| IT: 162.25| IR: 23.96875| DI: 21.30892857142857| CI: 29.071428571428573
Maze 123| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 101.84375| IT: 183.75| IR: 26.21875| DI: nan| CI: nan
Maze 124| Su: 0.0625| Fa: 0.03125| Sl: 0.90625| WC: 97.3125| IT: 182.46875| IR: 25.8125| DI: 15.213675213675213| CI: 23.25
