---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 75| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 5.21875| IT: 11.875| IR: 1.21875| DI: 1.9787356321839082| CI: 1.1810344827586208
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 0.78125| IR: 0.0| DI: 1.160885989010989| CI: 1.0364583333333335
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 2.375| IR: 0.03125| DI: 1.319623161764706| CI: 1.12109375
Maze 78| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 3.0| IT: 10.46875| IR: 0.5| DI: 2.0135258617025795| CI: 1.3010752688172047
Maze 79| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 1.15625| IT: 4.03125| IR: 0.09375| DI: 1.4754901960784315| CI: 1.3333333333333333
Maze 80| Su: 0.15625| Fa: 0.84375| Sl: 0.0| WC: 1.71875| IT: 8.09375| IR: 0.28125| DI: 2.367724867724868| CI: 1.5299999999999998
Maze 81| Su: 0.65625| Fa: 0.34375| Sl: 0.0| WC: 3.9375| IT: 10.8125| IR: 1.40625| DI: 1.8372023809523808| CI: 1.0317460317460319
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.625| IR: 0.0| DI: 1.2174107142857142| CI: 1.0750000000000002
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.34375| IT: 5.59375| IR: 0.09375| DI: 1.6563230994152047| CI: 1.171875
Maze 84| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.9375| IT: 1.75| IR: 0.03125| DI: nan| CI: nan
Maze 85| Su: 0.84375| Fa: 0.15625| Sl: 0.0| WC: 1.0625| IT: 4.40625| IR: 0.28125| DI: 1.5103267427828828| CI: 1.0864197530864197
Maze 86| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 4.5| IT: 13.1875| IR: 0.9375| DI: 2.2332230090311986| CI: 1.1098090277777777
Maze 87| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.5| IT: 0.625| IR: 0.0| DI: 1.3386904761904763| CI: 1.2444444444444445
Maze 88| Su: 0.6875| Fa: 0.3125| Sl: 0.0| WC: 5.71875| IT: 20.5625| IR: 3.125| DI: 2.4082665201086253| CI: 1.2916666666666667
Maze 89| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.90625| IR: 0.03125| DI: 1.2812728937728939| CI: 1.08125
Maze 90| Su: 0.375| Fa: 0.625| Sl: 0.0| WC: 1.28125| IT: 3.1875| IR: 0.53125| DI: 2.3238150738150742| CI: 1.4000000000000001
Maze 91| Su: 0.75| Fa: 0.25| Sl: 0.0| WC: 2.65625| IT: 8.21875| IR: 0.9375| DI: 2.160688405797101| CI: 1.09375
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 7.09375| IT: 25.71875| IR: 3.15625| DI: 2.5906417551154393| CI: 1.25
Maze 93| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.1875| IT: 6.15625| IR: 0.25| DI: nan| CI: nan
Maze 94| Su: 0.84375| Fa: 0.15625| Sl: 0.0| WC: 1.4375| IT: 8.0| IR: 0.34375| DI: 2.300875050875051| CI: 1.1975308641975309
Maze 95| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 4.78125| IT: 12.96875| IR: 1.65625| DI: 2.1003805286319075| CI: 1.1625
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.3125| IT: 3.09375| IR: 0.03125| DI: 1.4451694139194138| CI: 1.234375
Maze 97| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.5| IT: 14.96875| IR: 1.125| DI: nan| CI: nan
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.9375| IT: 10.34375| IR: 1.34375| DI: 2.353088768115942| CI: 1.25
Maze 99| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.8125| IT: 3.59375| IR: 0.15625| DI: 1.4627206853312915| CI: 1.0
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.4375| IR: 0.0| DI: 1.3214409722222222| CI: 1.2940848214285714
Maze 101| Su: 0.1875| Fa: 0.21875| Sl: 0.59375| WC: 37.4375| IT: 120.6875| IR: 25.0| DI: 5.365656565656566| CI: 1.1666666666666667
Maze 102| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 0.5| IT: 3.28125| IR: 0.0625| DI: 1.4065476190476192| CI: 1.3413461538461537
Maze 103| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 1.875| IT: 5.9375| IR: 0.21875| DI: 1.6343873517786562| CI: 1.25
Maze 104| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.0625| IT: 12.75| IR: 0.53125| DI: nan| CI: nan
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.0625| IT: 5.3125| IR: 0.375| DI: 1.859332000343997| CI: 1.03125
