---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99975
mean_fail_rate: 0.00025
mean_sloth_rate: 0.0
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.45396875
mean_inefficient_turns: 1.2418125
mean_inefficient_revisits: 0.016625
mean_distance_inefficiency: 1.2902876496315283
mean_closure_inefficiency: 1.1980275607233268
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99890625
mean_fail_rate: 0.0009375
mean_sloth_rate: 0.00015625
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.55234375
mean_inefficient_turns: 1.85109375
mean_inefficient_revisits: 0.17
mean_distance_inefficiency: 1.447784411805743
mean_closure_inefficiency: 1.2429387501009854
---------------------------------------------------------------
Maze 91| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 2.0625| IR: 0.0| DI: 1.2389508928571429| CI: 1.265625
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.9375| IR: 0.0| DI: 1.3437815656565655| CI: 1.2578125
Maze 93| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 2.1875| IR: 0.03125| DI: 1.2633042279411764| CI: 1.1171875
Maze 94| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.1875| IT: 2.65625| IR: 0.0625| DI: 1.3313163807189543| CI: 1.15625
Maze 95| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.21875| IR: 0.0625| DI: 1.2310921717171717| CI: 1.2421875
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 2.03125| IR: 0.03125| DI: 1.3713541666666664| CI: 1.25
Maze 97| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.96875| IR: 0.0| DI: 1.1728219696969697| CI: 1.1354166666666665
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.71875| IR: 0.0| DI: 1.220610119047619| CI: 1.2291666666666665
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.34375| IR: 0.0| DI: 1.3208705357142858| CI: 1.15625
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 2.09375| IR: 0.0| DI: 1.3911931818181817| CI: 1.3385416666666665
Maze 101| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.53125| IR: 0.0| DI: 1.1640625| CI: 1.1041666666666667
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.53125| IR: 0.0| DI: 1.1708333333333334| CI: 1.15625
Maze 103| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 1.09375| IR: 0.0| DI: 1.2743675595238095| CI: 1.221875
Maze 104| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 1.09375| IR: 0.0| DI: 1.3072916666666667| CI: 1.1624999999999999
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.5| IR: 0.0| DI: 1.2494791666666667| CI: 1.1822916666666667
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.84375| IR: 0.0| DI: 1.2963541666666667| CI: 1.2213541666666667
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.09375| IR: 0.0| DI: 1.2944568452380953| CI: 1.15625
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.75| IR: 0.0625| DI: 1.3250000000000002| CI: 1.096875
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.5| IR: 0.0| DI: 1.2255952380952382| CI: 1.1640625
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.59375| IR: 0.0| DI: 1.2614583333333331| CI: 1.1953125
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.46875| IR: 0.0| DI: 1.2603535353535353| CI: 1.234375
Maze 112| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.90625| IR: 0.0| DI: 1.3265625| CI: 1.2578125
Maze 113| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 1.34375| IR: 0.0| DI: 1.2717074592074593| CI: 1.0625
Maze 114| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.46875| IR: 0.0| DI: 1.3106376262626263| CI: 1.234375
Maze 115| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.75| IR: 0.0| DI: 1.2713369963369963| CI: 1.25
Maze 116| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.40625| IT: 0.875| IR: 0.0| DI: 1.2185185185185186| CI: 1.2
Maze 117| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.71875| IR: 0.0| DI: 1.2026785714285715| CI: 1.2291666666666667
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 1.15625| IR: 0.0| DI: 1.1764835858585858| CI: 1.09375
Maze 119| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.6875| IR: 0.0| DI: 1.218120421245421| CI: 1.1875
Maze 120| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.15625| IR: 0.0| DI: 1.342113095238095| CI: 1.10625
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.34375| IR: 0.0| DI: 1.1900677447552448| CI: 1.078125
