---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 95| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.90625| IR: 0.0| DI: 1.2902462121212122| CI: 1.1713541666666667
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 0.96875| IR: 0.0| DI: 1.2360321969696968| CI: 1.109375
Maze 97| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.375| IR: 0.0| DI: 1.2549873737373738| CI: 1.21875
Maze 98| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.8125| IR: 0.0| DI: 1.2172619047619047| CI: 1.2104166666666667
Maze 99| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.90625| IR: 0.0| DI: 1.4588293650793651| CI: 1.03125
Maze 100| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.40625| IR: 0.0| DI: 1.121527777777778| CI: 1.0677083333333335
Maze 101| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.625| IR: 0.0| DI: 1.1690848214285714| CI: 1.1458333333333335
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.59375| IR: 0.0| DI: 1.2395833333333335| CI: 1.2057291666666667
Maze 103| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.625| IR: 0.0| DI: 1.1908482142857144| CI: 1.2020833333333334
Maze 104| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.625| IR: 0.0| DI: 1.3274305555555554| CI: 1.0260416666666665
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.3125| IR: 0.0| DI: 1.1557291666666667| CI: 1.1458333333333335
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.25| IR: 0.0| DI: 1.0942708333333333| CI: 1.0520833333333335
Maze 107| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.875| IR: 0.0| DI: 1.1774553571428572| CI: 1.03125
Maze 108| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.3125| IR: 0.0| DI: 1.159375| CI: 1.0
Maze 109| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.375| IR: 0.0| DI: 1.180654761904762| CI: 1.2015625
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.46875| IR: 0.0| DI: 1.1885416666666666| CI: 1.1848958333333335
Maze 111| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.4375| IR: 0.0| DI: 1.114078282828283| CI: 1.046875
