---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.997325
mean_fail_rate: 0.00265625
mean_sloth_rate: 1.875e-05
recall_50: 1.0
recall_90: 0.997
mean_wall_collisions: 0.094125
mean_inefficient_turns: 2.4091
mean_inefficient_revisits: 0.24433125
mean_exploitation_inefficiency: 1.7623771703876088
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99725
mean_fail_rate: 0.0026875
mean_sloth_rate: 6.25e-05
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.11125
mean_inefficient_turns: 3.20765625
mean_inefficient_revisits: 0.46803125
mean_exploitation_inefficiency: 2.3000118739348276
---------------------------------------------------------------
Maze 56| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 12.21875| IR: 3.40625| DI: 11.00390625| EI: nan
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.03125| DI: 1.6335227272727273| EI: 0.5989583333333334
Maze 58| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.25| IR: 0.0| DI: 1.3020833333333333| EI: 1.3020833333333333
Maze 59| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 8.84375| IR: 2.125| DI: 7.704861111111111| EI: nan
Maze 60| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.09375| IT: 2.78125| IR: 0.375| DI: 2.2991202346041058| EI: 1.053763440860215
Maze 61| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 2.59375| IR: 0.375| DI: 3.40625| EI: nan
Maze 62| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 4.34375| IR: 0.28125| DI: 3.321022727272727| EI: nan
Maze 63| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.09375| IT: 4.59375| IR: 0.59375| DI: 3.5860215053763445| EI: 1.7930107526881722
Maze 64| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.15625| IT: 3.4375| IR: 0.3125| DI: 1.9556451612903225| EI: 1.840607210626186
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.59375| IR: 0.0| DI: 1.53515625| EI: nan
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.71875| IR: 0.0625| DI: 1.7791666666666668| EI: 1.7791666666666668
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.125| IR: 0.625| DI: 4.57421875| EI: 4.57421875
