---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.951775
mean_fail_rate: 0.044
mean_sloth_rate: 0.004225
recall_50: 0.9988
recall_90: 0.8684
mean_wall_collisions: 0.361025
mean_inefficient_turns: 6.91589375
mean_inefficient_revisits: 2.535225
mean_exploitation_inefficiency: 3.60671633812324
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.94834375
mean_fail_rate: 0.04615625
mean_sloth_rate: 0.0055
recall_50: 0.998
recall_90: 0.849
mean_wall_collisions: 0.3651875
mean_inefficient_turns: 7.11790625
mean_inefficient_revisits: 2.63371875
mean_exploitation_inefficiency: 3.642634703643762
---------------------------------------------------------------
Maze 95| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.625| IT: 8.96875| IR: 3.5625| DI: 7.162337662337663| EI: nan
Maze 96| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.15625| IT: 4.53125| IR: 0.8125| DI: 3.544061302681992| EI: 3.189655172413793
Maze 97| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.34375| IT: 5.75| IR: 1.46875| DI: 3.903030303030303| EI: 1.1008547008547007
Maze 98| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.1875| IT: 5.46875| IR: 1.34375| DI: 3.535714285714285| EI: nan
Maze 99| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.1875| IT: 5.625| IR: 0.84375| DI: 2.976958525345622| EI: 2.451612903225806
Maze 100| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.40625| IT: 12.28125| IR: 6.3125| DI: 7.63| EI: nan
Maze 101| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 4.28125| IR: 1.15625| DI: 3.0625| EI: 2.296875
Maze 102| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 10.65625| IR: 3.6875| DI: 8.46484375| EI: 8.46484375
Maze 103| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.28125| IT: 4.5625| IR: 0.9375| DI: 2.5655913978494627| EI: 1.3270300333704117
Maze 104| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 14.46875| IR: 4.6875| DI: 10.20138888888889| EI: nan
Maze 105| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 5.1875| IR: 0.8125| DI: 3.3846153846153846| EI: 3.3846153846153846
Maze 106| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 6.125| IR: 1.40625| DI: 4.028409090909092| EI: 3.165178571428571
Maze 107| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.09375| IT: 1.59375| IR: 0.09375| DI: 2.036290322580645| EI: 2.036290322580645
Maze 108| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.28125| IT: 7.0625| IR: 1.84375| DI: 4.18010752688172| EI: 2.280058651026393
Maze 109| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.21875| IT: 4.96875| IR: 0.875| DI: 3.1992337164750957| EI: 1.439655172413793
Maze 110| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 7.46875| IR: 1.125| DI: 3.6104166666666666| EI: 3.1856617647058822
Maze 111| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.6875| IT: 9.65625| IR: 6.0625| DI: 6.681818181818181| EI: nan
Maze 112| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.21875| IT: 3.90625| IR: 0.84375| DI: 3.4878787878787874| EI: nan
Maze 113| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.71875| IT: 4.4375| IR: 1.03125| DI: 4.2625| EI: 4.2625
Maze 114| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 4.53125| IR: 0.9375| DI: 2.7625| EI: 2.302083333333333
Maze 115| Su: 0.84375| Fa: 0.125| Sl: 0.03125| WC: 0.90625| IT: 12.78125| IR: 8.1875| DI: 12.648148148148149| EI: nan
Maze 116| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.25| IT: 6.5| IR: 0.90625| DI: 3.3222222222222224| EI: 3.3222222222222224
Maze 117| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 10.59375| IR: 2.875| DI: 7.953125| EI: nan
Maze 118| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 5.78125| IR: 1.03125| DI: 2.9330357142857144| EI: nan
Maze 119| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 6.5| IR: 0.65625| DI: 2.959821428571429| EI: 2.959821428571429
Maze 120| Su: 0.84375| Fa: 0.15625| Sl: 0.0| WC: 0.25| IT: 4.375| IR: 1.1875| DI: 3.296296296296296| EI: 2.9966329966329965
Maze 121| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 3.0625| IR: 0.4375| DI: 2.4831730769230766| EI: 1.113146551724138
Maze 122| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.21875| IT: 3.5625| IR: 0.34375| DI: 2.8102564102564096| EI: 2.6095238095238096
Maze 123| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.875| IT: 14.6875| IR: 5.625| DI: 10.493333333333334| EI: nan
Maze 124| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 4.25| IR: 1.03125| DI: 5.244791666666666| EI: 3.496527777777778
Maze 125| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.21875| IT: 4.09375| IR: 0.65625| DI: 2.571111111111111| EI: 2.029824561403509
Maze 126| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 6.4375| IR: 1.96875| DI: 5.495535714285715| EI: 3.8468750000000003
Maze 127| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.53125| IT: 11.6875| IR: 4.15625| DI: 6.225806451612902| EI: nan
Maze 128| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 6.65625| IR: 2.09375| DI: 4.60752688172043| EI: 2.5131964809384164
Maze 129| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 7.71875| IR: 1.6875| DI: 3.9038461538461537| EI: 3.9038461538461537
Maze 130| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 6.8125| IR: 2.375| DI: 3.560546875| EI: 3.3511029411764706
Maze 131| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 0.5| IT: 4.8125| IR: 2.96875| DI: 5.862903225806452| EI: nan
Maze 132| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.28125| IT: 3.75| IR: 0.875| DI: 2.63125| EI: nan
Maze 133| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.59375| IT: 10.4375| IR: 4.59375| DI: 10.747619047619049| EI: 10.747619047619049
Maze 134| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 5.25| IR: 1.15625| DI: 2.546875| EI: 2.397058823529412
Maze 135| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.46875| IR: 0.8125| DI: 3.084134615384615| EI: 1.5420673076923075
Maze 136| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 4.28125| IR: 1.0| DI: 3.46875| EI: 3.121875
Maze 137| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 0.65625| IT: 13.34375| IR: 7.65625| DI: 7.276666666666666| EI: 7.276666666666666
Maze 138| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.40625| IT: 8.21875| IR: 2.03125| DI: 6.858870967741935| EI: 4.988269794721407
Maze 139| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 0.25| IT: 5.25| IR: 1.21875| DI: 4.3961538461538465| EI: 3.996503496503496
Maze 140| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.4375| IT: 5.6875| IR: 1.78125| DI: 4.732258064516128| EI: nan
Maze 141| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.0625| EI: 1.0625
Maze 142| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 5.8125| IR: 2.5| DI: 4.0390625| EI: nan
Maze 143| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.46875| IT: 11.3125| IR: 2.75| DI: 8.652329749103941| EI: nan
Maze 144| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.1875| IT: 6.96875| IR: 1.59375| DI: 4.648093841642228| EI: 3.6520737327188937
Maze 145| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.03125| IT: 2.21875| IR: 0.9375| DI: 1.6129032258064515| EI: 1.6129032258064515
Maze 146| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 7.625| IR: 3.1875| DI: 9.758064516129034| EI: 2.251861042183623
Maze 147| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.25| IT: 4.40625| IR: 0.34375| DI: 2.862068965517241| EI: 2.6576354679802954
Maze 148| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.03125| IT: 2.96875| IR: 1.6875| DI: 5.041666666666667| EI: 5.041666666666667
Maze 149| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.34375| IR: 0.375| DI: 2.62109375| EI: 1.1649305555555558
Maze 150| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 4.1875| IR: 1.53125| DI: 4.013888888888889| EI: nan
Maze 151| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 7.96875| IR: 1.1875| DI: 3.4861751152073728| EI: 3.4861751152073728
Maze 152| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 0.875| IT: 26.21875| IR: 18.8125| DI: 16.81111111111111| EI: 16.81111111111111
Maze 153| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.5| IT: 8.3125| IR: 1.875| DI: 7.387755102040815| EI: nan
Maze 154| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 9.15625| IR: 4.6875| DI: 6.201704545454545| EI: 4.872767857142857
Maze 155| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.3125| IT: 8.15625| IR: 4.5| DI: 5.3| EI: 5.3
