T:0.171875,|0.0,V:0.22916666666666666,|0.0,
T:0.21875,|0.0,V:0.22916666666666666,|0.0,
T:0.19270833333333334,|0.0,V:0.18229166666666666,|0.0,
T:0.203125,|0.0,V:0.19270833333333334,|0.0,
T:0.19270833333333334,|0.0,V:0.15625,|0.0,
T:0.18229166666666666,|0.0,V:0.19791666666666666,|0.0,
T:0.171875,|0.0,V:0.22395833333333334,|0.0,
T:0.171875,|0.005208333333333333,V:0.19791666666666666,|0.0,
T:0.21354166666666666,|0.0,V:0.16666666666666666,|0.0,
T:0.19791666666666666,|0.0,V:0.20833333333333334,|0.0,
T:0.1875,|0.0,V:0.21875,|0.0,
T:0.16666666666666666,|0.0,V:0.171875,|0.0,
T:0.16666666666666666,|0.0,V:0.15104166666666666,|0.0,
